Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) description,defectFixed,defectType,lifecycle:transition,numberRepairs,phoneType
1,Register,System,1970/01/02 13:23:00.000,1970/01/02 13:23:00.000,Variant 2,2,Simulated process instance,,,complete,,
1,Analyze Defect,Tester3,1970/01/02 13:23:00.000,1970/01/02 13:30:00.000,Variant 2,2,Simulated process instance,,6,complete,,T2
1,Repair (Complex),SolverC1,1970/01/02 13:31:00.000,1970/01/02 13:49:00.000,Variant 2,2,Simulated process instance,,,complete,,
1,Test Repair,Tester3,1970/01/02 13:49:00.000,1970/01/02 13:55:00.000,Variant 2,2,Simulated process instance,true,,complete,0,
1,Inform User,System,1970/01/02 14:10:00.000,1970/01/02 14:10:00.000,Variant 2,2,Simulated process instance,,,complete,,
1,Archive Repair,System,1970/01/02 14:10:00.000,1970/01/02 14:10:00.000,Variant 2,2,Simulated process instance,true,,complete,0,
10,Register,System,1970/01/01 12:09:00.000,1970/01/01 12:09:00.000,Variant 8,8,Simulated process instance,,,complete,,
10,Analyze Defect,Tester2,1970/01/01 12:09:00.000,1970/01/01 12:15:00.000,Variant 8,8,Simulated process instance,,3,complete,,T1
10,Repair (Simple),SolverS1,1970/01/01 12:35:00.000,1970/01/01 12:42:00.000,Variant 8,8,Simulated process instance,,,complete,,
10,Test Repair,Tester6,1970/01/01 12:42:00.000,1970/01/01 12:48:00.000,Variant 8,8,Simulated process instance,false,,complete,1,
10,Restart Repair,System,1970/01/01 12:54:00.000,1970/01/01 12:54:00.000,Variant 8,8,Simulated process instance,,,complete,,
10,Repair (Simple),SolverS2,1970/01/01 12:54:00.000,1970/01/01 13:03:00.000,Variant 8,8,Simulated process instance,,,complete,,
10,Inform User,System,1970/01/01 12:55:00.000,1970/01/01 12:55:00.000,Variant 8,8,Simulated process instance,,,complete,,
10,Test Repair,Tester4,1970/01/01 13:03:00.000,1970/01/01 13:09:00.000,Variant 8,8,Simulated process instance,true,,complete,2,
10,Archive Repair,System,1970/01/01 13:14:00.000,1970/01/01 13:14:00.000,Variant 8,8,Simulated process instance,true,,complete,2,
100,Register,System,1970/01/04 03:28:00.000,1970/01/04 03:28:00.000,Variant 2,2,Simulated process instance,,,complete,,
100,Analyze Defect,Tester4,1970/01/04 03:28:00.000,1970/01/04 03:36:00.000,Variant 2,2,Simulated process instance,,8,complete,,T2
100,Repair (Complex),SolverC1,1970/01/04 03:52:00.000,1970/01/04 04:09:00.000,Variant 2,2,Simulated process instance,,,complete,,
100,Test Repair,Tester1,1970/01/04 04:09:00.000,1970/01/04 04:18:00.000,Variant 2,2,Simulated process instance,true,,complete,0,
100,Inform User,System,1970/01/04 04:20:00.000,1970/01/04 04:20:00.000,Variant 2,2,Simulated process instance,,,complete,,
